hex_icao,immatriculation,nom,horodatage_utc,latitude,longitude,altitude_pieds,au_sol,vitesse_sol_noeuds,cap_degres
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:17:59.569Z,51.743278,11.196289,850,0,82.3,244.1
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:18:08.759Z,51.741714,11.191283,925,0,83.2,244.4
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:18:15.549Z,51.740624,11.187515,1000,0,81.9,244.7
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:18:21.039Z,51.739792,11.184602,1075,0,77.4,244.8
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:18:27.349Z,51.738739,11.18141,1125,0,76.1,241.8
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:18:32.739Z,51.737924,11.178665,1200,0,77.4,244.8
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:18:39.659Z,51.7369,11.174927,1275,0,77.1,247.1
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:18:45.469Z,51.736038,11.171834,1350,0,77.9,245.7
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:18:51.379Z,51.735131,11.168747,1400,0,77.4,243.1
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:18:56.579Z,51.734253,11.166192,1425,0,77.5,239.8
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:19:01.179Z,51.733383,11.163891,1500,0,77.2,238.8
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:19:07.099Z,51.732292,11.160965,1575,0,76.7,239.4
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:19:12.199Z,51.73136,11.158447,1650,0,75.3,239.7
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:19:18.559Z,51.73027,11.155428,1725,0,75.8,239.0
48ea09,48EA09,M18 Dromader PL n°2,2026-07-29T04:19:25.129Z,51.729034,11.152237,1800,0,76.0,237.4
