hex_icao,immatriculation,nom,horodatage_utc,latitude,longitude,altitude_pieds,au_sol,vitesse_sol_noeuds,cap_degres
3b776c,0019,A400M 0019,2026-07-23T06:13:57.900Z,47.996201,1.795647,1975,0,131.6,70.5
3b776c,0019,A400M 0019,2026-07-23T06:14:02.680Z,47.997208,1.799835,2050,0,137.3,70.0
3b776c,0019,A400M 0019,2026-07-23T06:14:06.500Z,47.998104,1.803378,2100,0,142.3,70.3
3b776c,0019,A400M 0019,2026-07-23T06:14:09.750Z,47.998718,1.806564,2150,0,150.9,75.4
3b776c,0019,A400M 0019,2026-07-23T06:14:12.340Z,47.999084,1.809174,2175,0,152.1,76.7
3b776c,0019,A400M 0019,2026-07-23T06:14:13.750Z,47.999268,1.810843,2200,0,158.4,82.4
3b776c,0019,A400M 0019,2026-07-23T06:14:17.420Z,47.999451,1.814461,2225,0,162.4,86.1
3b776c,0019,A400M 0019,2026-07-23T06:14:20.090Z,47.999359,1.817825,2250,0,164.1,88.2
3b776c,0019,A400M 0019,2026-07-23T06:14:20.490Z,47.999313,1.818306,2250,0,170.4,94.0
3b776c,0019,A400M 0019,2026-07-23T06:14:22.070Z,47.999176,1.820091,2275,0,172.9,96.0
3b776c,0019,A400M 0019,2026-07-23T06:14:25.860Z,47.998444,1.824898,2300,0,174.8,98.2
3b776c,0019,A400M 0019,2026-07-23T06:14:26.790Z,47.998077,1.824966,2325,0,187.5,108.3
3b776c,0019,A400M 0019,2026-07-23T06:14:29.850Z,47.997219,1.829646,2350,0,192.0,112.0
3b776c,0019,A400M 0019,2026-07-23T06:14:32.010Z,47.996521,1.83197,2350,0,193.9,113.4
3b776c,0019,A400M 0019,2026-07-23T06:14:34.520Z,47.995377,1.835472,2375,0,201.3,115.9
3b776c,0019,A400M 0019,2026-07-23T06:14:35.550Z,47.994919,1.836777,2400,0,204.4,116.4
3b776c,0019,A400M 0019,2026-07-23T06:14:39.270Z,47.993262,1.841759,2450,0,210.2,116.6
3b776c,0019,A400M 0019,2026-07-23T06:14:44.270Z,47.991074,1.848168,2500,0,216.5,116.9
3b776c,0019,A400M 0019,2026-07-23T06:14:49.150Z,47.988831,1.854904,2575,0,223.6,116.6
3b776c,0019,A400M 0019,2026-07-23T06:14:53.850Z,47.986605,1.861549,2650,0,229.9,116.3
3b776c,0019,A400M 0019,2026-07-23T06:14:56.690Z,47.985306,1.865547,2700,0,232.1,116.3
3b776c,0019,A400M 0019,2026-07-23T06:14:59.470Z,47.983887,1.869736,2800,0,233.9,116.1
3b776c,0019,A400M 0019,2026-07-23T06:15:00.570Z,47.983383,1.871246,2825,0,234.3,116.3
3b776c,0019,A400M 0019,2026-07-23T06:15:02.860Z,47.982285,1.874611,2900,0,235.2,116.2
3b776c,0019,A400M 0019,2026-07-23T06:15:05.260Z,47.981094,1.87825,2975,0,236.1,116.1
3b776c,0019,A400M 0019,2026-07-23T06:15:07.870Z,47.979858,1.881958,3050,0,237.5,116.2
3b776c,0019,A400M 0019,2026-07-23T06:15:09.360Z,47.979675,1.884087,3100,0,237.5,116.2
3b776c,0019,A400M 0019,2026-07-23T06:15:11.720Z,47.978027,1.88752,3175,0,238.8,116.3
3b776c,0019,A400M 0019,2026-07-23T06:15:14.320Z,47.976791,1.891159,3250,0,238.8,116.3
3b776c,0019,A400M 0019,2026-07-23T06:15:16.520Z,47.975619,1.894719,3325,0,240.2,116.5
3b776c,0019,A400M 0019,2026-07-23T06:15:18.560Z,47.974641,1.897536,3400,0,240.6,116.7
3b776c,0019,A400M 0019,2026-07-23T06:15:20.980Z,47.973385,1.901269,3475,0,241.1,116.9
3b776c,0019,A400M 0019,2026-07-23T06:15:23.580Z,47.972221,1.904649,3575,0,241.1,116.9
3b776c,0019,A400M 0019,2026-07-23T06:15:25.350Z,47.971197,1.907748,3650,0,241.1,116.9
3b776c,0019,A400M 0019,2026-07-23T06:15:27.630Z,47.970291,1.910385,3725,0,240.2,117.0
3b776c,0019,A400M 0019,2026-07-23T06:15:28.970Z,47.969559,1.912514,3800,0,240.2,117.0
3b776c,0019,A400M 0019,2026-07-23T06:15:30.580Z,47.969055,1.913875,3875,0,240.2,117.0
3b776c,0019,A400M 0019,2026-07-23T06:15:32.510Z,47.967545,1.91835,3950,0,241.1,116.9
3b776c,0019,A400M 0019,2026-07-23T06:15:33.030Z,47.967286,1.919157,3975,0,240.6,116.7
3b776c,0019,A400M 0019,2026-07-23T06:15:35.620Z,47.96608,1.922745,4050,0,241.5,116.6
3b776c,0019,A400M 0019,2026-07-23T06:15:37.730Z,47.964935,1.926178,4125,0,242.4,116.5
3b776c,0019,A400M 0019,2026-07-23T06:15:39.150Z,47.964203,1.928375,4150,0,242.8,116.1
3b776c,0019,A400M 0019,2026-07-23T06:15:41.280Z,47.963236,1.93134,4225,0,243.7,116.0
3b776c,0019,A400M 0019,2026-07-23T06:15:44.660Z,47.961502,1.936615,4300,0,246.4,116.2
3b776c,0019,A400M 0019,2026-07-23T06:15:47.290Z,47.96021,1.940214,4375,0,248.8,118.3
3b776c,0019,A400M 0019,2026-07-23T06:15:50.370Z,47.958252,1.944992,4450,0,252.1,123.2
3b776c,0019,A400M 0019,2026-07-23T06:15:52.850Z,47.956467,1.948494,4500,0,253.4,127.1
3b776c,0019,A400M 0019,2026-07-23T06:15:55.310Z,47.954577,1.951623,4575,0,256.8,133.3
3b776c,0019,A400M 0019,2026-07-23T06:15:57.610Z,47.952484,1.954468,4650,0,257.6,137.2
3b776c,0019,A400M 0019,2026-07-23T06:16:00.990Z,47.950104,1.957283,4750,0,258.9,141.3
3b776c,0019,A400M 0019,2026-07-23T06:16:02.140Z,47.948339,1.959017,4825,0,258.8,143.5
3b776c,0019,A400M 0019,2026-07-23T06:16:02.470Z,47.947815,1.95948,4850,0,258.5,147.5
3b776c,0019,A400M 0019,2026-07-23T06:16:03.980Z,47.946259,1.960785,4900,0,258.6,149.6
3b776c,0019,A400M 0019,2026-07-23T06:16:05.460Z,47.945801,1.961128,5000,0,256.7,152.6
3b776c,0019,A400M 0019,2026-07-23T06:16:06.410Z,47.943604,1.962776,5050,0,256.7,153.6
3b776c,0019,A400M 0019,2026-07-23T06:16:08.210Z,47.941635,1.964149,5150,0,255.4,154.2
3b776c,0019,A400M 0019,2026-07-23T06:16:09.240Z,47.940612,1.964863,5200,0,253.7,155.1
3b776c,0019,A400M 0019,2026-07-23T06:16:10.310Z,47.939495,1.965637,5275,0,253.3,155.3
3b776c,0019,A400M 0019,2026-07-23T06:16:12.110Z,47.938563,1.966271,5375,0,251.4,155.1
3b776c,0019,A400M 0019,2026-07-23T06:16:13.420Z,47.936096,1.967995,5450,0,249.6,154.9
3b776c,0019,A400M 0019,2026-07-23T06:16:13.990Z,47.935638,1.968269,5500,0,248.7,154.8
3b776c,0019,A400M 0019,2026-07-23T06:16:15.440Z,47.934048,1.96944,5600,0,247.4,154.9
3b776c,0019,A400M 0019,2026-07-23T06:16:16.990Z,47.932558,1.970497,5675,0,245.6,154.7
3b776c,0019,A400M 0019,2026-07-23T06:16:17.890Z,47.931488,1.971271,5750,0,244.7,154.6
3b776c,0019,A400M 0019,2026-07-23T06:16:19.430Z,47.931022,1.971553,5850,0,242.0,154.3
3b776c,0019,A400M 0019,2026-07-23T06:16:20.900Z,47.928635,1.973282,5925,0,239.7,154.3
3b776c,0019,A400M 0019,2026-07-23T06:16:21.910Z,47.927582,1.974037,6000,0,238.8,154.2
3b776c,0019,A400M 0019,2026-07-23T06:16:22.700Z,47.926646,1.974722,6050,0,237.9,154.1
3b776c,0019,A400M 0019,2026-07-23T06:16:23.800Z,47.925751,1.975342,6125,0,237.5,154.3
3b776c,0019,A400M 0019,2026-07-23T06:16:25.080Z,47.924412,1.976342,6200,0,236.6,154.2
3b776c,0019,A400M 0019,2026-07-23T06:16:26.530Z,47.922922,1.976624,6275,0,236.2,154.4
3b776c,0019,A400M 0019,2026-07-23T06:16:27.510Z,47.921944,1.978032,6350,0,234.8,154.5
3b776c,0019,A400M 0019,2026-07-23T06:16:29.010Z,47.920501,1.979088,6425,0,233.5,154.6
3b776c,0019,A400M 0019,2026-07-23T06:16:30.080Z,47.919617,1.979736,6475,0,232.2,154.8
3b776c,0019,A400M 0019,2026-07-23T06:16:31.070Z,47.91861,1.980423,6550,0,232.2,154.8
3b776c,0019,A400M 0019,2026-07-23T06:16:32.420Z,47.917289,1.981342,6625,0,231.3,154.6
3b776c,0019,A400M 0019,2026-07-23T06:16:33.740Z,47.915846,1.982328,6700,0,229.9,154.8
3b776c,0019,A400M 0019,2026-07-23T06:16:35.640Z,47.914169,1.983513,6775,0,229.9,154.8
3b776c,0019,A400M 0019,2026-07-23T06:16:37.060Z,47.91275,1.984543,6850,0,229.9,154.8
3b776c,0019,A400M 0019,2026-07-23T06:16:38.670Z,47.911377,1.985504,6900,0,229.9,154.8
3b776c,0019,A400M 0019,2026-07-23T06:16:40.810Z,47.909317,1.986946,6975,0,231.3,154.6
3b776c,0019,A400M 0019,2026-07-23T06:16:42.140Z,47.907898,1.987907,7000,0,233.5,154.6
3b776c,0019,A400M 0019,2026-07-23T06:16:45.040Z,47.905014,1.989967,7075,0,235.7,154.6
3b776c,0019,A400M 0019,2026-07-23T06:16:49.820Z,47.900298,1.993244,7150,0,241.1,154.7
3b776c,0019,A400M 0019,2026-07-23T06:16:53.170Z,47.896774,1.995735,7200,0,246.9,154.6
3b776c,0019,A400M 0019,2026-07-23T06:16:57.940Z,47.891739,1.999306,7250,0,252.3,154.6
3b776c,0019,A400M 0019,2026-07-23T06:17:03.350Z,47.886154,2.00322,7325,0,258.1,154.5
3b776c,0019,A400M 0019,2026-07-23T06:17:07.630Z,47.881444,2.006554,7375,0,264.4,154.7
3b776c,0019,A400M 0019,2026-07-23T06:17:13.160Z,47.875259,2.01091,7450,0,269.7,154.8
3b776c,0019,A400M 0019,2026-07-23T06:17:14.010Z,47.874298,2.011597,7450,0,271.1,154.7
3b776c,0019,A400M 0019,2026-07-23T06:17:17.860Z,47.869852,2.014724,7525,0,274.2,154.7
3b776c,0019,A400M 0019,2026-07-23T06:17:19.810Z,47.867711,2.016202,7575,0,274.7,155.0
3b776c,0019,A400M 0019,2026-07-23T06:17:24.770Z,47.861752,2.019865,7725,0,277.1,158.6
3b776c,0019,A400M 0019,2026-07-23T06:17:26.530Z,47.85965,2.020935,7775,0,277.1,160.4
3b776c,0019,A400M 0019,2026-07-23T06:17:30.790Z,47.854202,2.023338,7925,0,278.6,164.2
3b776c,0019,A400M 0019,2026-07-23T06:17:35.320Z,47.848709,2.025192,8075,0,278.5,167.6
3b776c,0019,A400M 0019,2026-07-23T06:17:41.470Z,47.840897,2.027541,8275,0,280.3,168.9
3b776c,0019,A400M 0019,2026-07-23T06:17:44.830Z,47.836335,2.028809,8375,0,281.2,168.9
3b776c,0019,A400M 0019,2026-07-23T06:17:48.790Z,47.831406,2.030273,8500,0,283.2,169.0
3b776c,0019,A400M 0019,2026-07-23T06:17:55.470Z,47.8228,2.032745,8700,0,284.4,168.9
3b776c,0019,A400M 0019,2026-07-23T06:18:00.940Z,47.815898,2.034795,8875,0,285.4,168.9
3b776c,0019,A400M 0019,2026-07-23T06:18:04.580Z,47.811057,2.036203,9025,0,285.4,168.9
3b776c,0019,A400M 0019,2026-07-23T06:18:10.450Z,47.803345,2.038445,9225,0,285.4,168.9
