hex_icao,immatriculation,nom,horodatage_utc,latitude,longitude,altitude_pieds,au_sol,vitesse_sol_noeuds,cap_degres
3b776b,0031,A400M 0031,2026-07-24T00:28:18.200Z,36.753937,-124.719543,30975,0,475.9,52.0
3b776b,0031,A400M 0031,2026-07-24T00:28:37.370Z,36.779755,-124.678516,30975,0,475.9,52.0
3b776b,0031,A400M 0031,2026-07-24T00:28:56.660Z,36.805642,-124.637263,30975,0,474.5,52.0
3b776b,0031,A400M 0031,2026-07-24T00:29:16.020Z,36.832809,-124.594002,30975,0,473.9,52.1
3b776b,0031,A400M 0031,2026-07-24T00:29:35.280Z,36.858572,-124.552838,30975,0,473.9,52.1
3b776b,0031,A400M 0031,2026-07-24T00:29:54.610Z,36.884445,-124.511388,30975,0,474.5,52.0
3b776b,0031,A400M 0031,2026-07-24T00:30:13.300Z,36.908936,-124.472293,30975,0,473.9,52.1
3b776b,0031,A400M 0031,2026-07-24T00:30:29.450Z,36.93045,-124.437814,30975,0,473.9,52.1
3b776b,0031,A400M 0031,2026-07-24T00:30:44.910Z,36.952235,-124.402851,30975,0,473.9,52.1
3b776b,0031,A400M 0031,2026-07-24T00:30:55.530Z,36.965698,-124.381305,30950,0,473.3,52.2
3b776b,0031,A400M 0031,2026-07-24T00:31:21.540Z,37.000789,-124.324872,30550,0,474.7,52.2
3b776b,0031,A400M 0031,2026-07-24T00:31:38.910Z,37.025253,-124.285583,30275,0,474.7,52.2
3b776b,0031,A400M 0031,2026-07-24T00:31:55.540Z,37.047043,-124.250462,30025,0,475.5,52.3
3b776b,0031,A400M 0031,2026-07-24T00:32:09.960Z,37.065903,-124.220016,29800,0,475.5,52.3
3b776b,0031,A400M 0031,2026-07-24T00:32:27.280Z,37.090402,-124.180497,29525,0,474.1,52.3
3b776b,0031,A400M 0031,2026-07-24T00:32:43.340Z,37.111359,-124.146618,29275,0,474.1,52.3
3b776b,0031,A400M 0031,2026-07-24T00:32:59.130Z,37.132113,-124.113026,29000,0,473.4,52.4
3b776b,0031,A400M 0031,2026-07-24T00:33:15.570Z,37.155063,-124.075828,28750,0,471.2,52.3
3b776b,0031,A400M 0031,2026-07-24T00:33:31.910Z,37.176291,-124.041496,28500,0,467.0,52.4
3b776b,0031,A400M 0031,2026-07-24T00:33:48.510Z,37.197739,-124.006659,28225,0,465.6,52.4
3b776b,0031,A400M 0031,2026-07-24T00:34:04.940Z,37.220078,-123.970369,27975,0,466.4,52.5
3b776b,0031,A400M 0031,2026-07-24T00:34:21.380Z,37.241232,-123.935932,27700,0,466.4,52.5
3b776b,0031,A400M 0031,2026-07-24T00:34:37.750Z,37.262506,-123.90142,27450,0,462.8,52.5
3b776b,0031,A400M 0031,2026-07-24T00:34:54.100Z,37.283524,-123.86711,27200,0,462.8,52.5
3b776b,0031,A400M 0031,2026-07-24T00:35:10.510Z,37.305846,-123.830666,26925,0,463.6,52.5
3b776b,0031,A400M 0031,2026-07-24T00:35:26.920Z,37.326874,-123.796341,26675,0,464.4,52.6
3b776b,0031,A400M 0031,2026-07-24T00:35:43.450Z,37.348022,-123.761746,26400,0,465.0,52.5
3b776b,0031,A400M 0031,2026-07-24T00:35:59.730Z,37.37027,-123.725339,26150,0,465.8,52.6
3b776b,0031,A400M 0031,2026-07-24T00:36:16.250Z,37.391373,-123.690744,25875,0,461.6,52.7
3b776b,0031,A400M 0031,2026-07-24T00:36:32.710Z,37.412171,-123.656676,25625,0,458.0,52.6
3b776b,0031,A400M 0031,2026-07-24T00:36:49.160Z,37.434082,-123.620677,25350,0,456.6,52.7
3b776b,0031,A400M 0031,2026-07-24T00:37:05.430Z,37.454636,-123.5869,25100,0,458.0,52.6
3b776b,0031,A400M 0031,2026-07-24T00:37:21.480Z,37.474784,-123.553739,24850,0,458.8,52.7
3b776b,0031,A400M 0031,2026-07-24T00:37:37.780Z,37.496664,-123.517735,24575,0,458.8,52.7
3b776b,0031,A400M 0031,2026-07-24T00:37:54.820Z,37.518264,-123.482149,24325,0,456.0,52.8
3b776b,0031,A400M 0031,2026-07-24T00:38:11.180Z,37.538654,-123.448533,24050,0,453.8,52.7
3b776b,0031,A400M 0031,2026-07-24T00:38:27.650Z,37.560487,-123.412409,23800,0,453.2,52.8
3b776b,0031,A400M 0031,2026-07-24T00:38:43.820Z,37.580132,-123.379928,23550,0,452.4,52.7
3b776b,0031,A400M 0031,2026-07-24T00:39:00.020Z,37.600525,-123.346194,23300,0,449.0,52.9
3b776b,0031,A400M 0031,2026-07-24T00:39:16.530Z,37.62204,-123.310547,23025,0,446.8,52.8
3b776b,0031,A400M 0031,2026-07-24T00:39:34.250Z,37.643829,-123.274315,22975,0,445.8,53.8
3b776b,0031,A400M 0031,2026-07-24T00:39:39.110Z,37.649774,-123.263377,22975,0,444.8,58.0
3b776b,0031,A400M 0031,2026-07-24T00:39:43.820Z,37.653809,-123.25468,22975,0,443.8,62.0
3b776b,0031,A400M 0031,2026-07-24T00:39:48.380Z,37.658107,-123.243793,22975,0,442.0,66.4
3b776b,0031,A400M 0031,2026-07-24T00:39:54.430Z,37.662964,-123.228558,22975,0,440.4,69.7
3b776b,0031,A400M 0031,2026-07-24T00:40:14.400Z,37.67688,-123.181048,22975,0,441.4,69.7
3b776b,0031,A400M 0031,2026-07-24T00:40:34.260Z,37.690833,-123.133273,22975,0,441.0,69.8
3b776b,0031,A400M 0031,2026-07-24T00:40:53.960Z,37.704566,-123.086342,23000,0,441.7,69.6
3b776b,0031,A400M 0031,2026-07-24T00:41:13.750Z,37.719223,-123.036707,22800,0,441.7,69.6
3b776b,0031,A400M 0031,2026-07-24T00:41:29.750Z,37.730403,-122.998929,22550,0,440.8,69.6
3b776b,0031,A400M 0031,2026-07-24T00:41:46.100Z,37.741715,-122.960537,22300,0,438.2,69.7
3b776b,0031,A400M 0031,2026-07-24T00:42:02.120Z,37.753446,-122.920532,22050,0,436.9,69.8
3b776b,0031,A400M 0031,2026-07-24T00:42:18.470Z,37.764633,-122.882139,21775,0,435.6,69.9
3b776b,0031,A400M 0031,2026-07-24T00:42:34.940Z,37.775848,-122.843453,21525,0,433.4,69.9
3b776b,0031,A400M 0031,2026-07-24T00:42:51.300Z,37.787521,-122.803247,21250,0,431.2,69.9
3b776b,0031,A400M 0031,2026-07-24T00:43:07.740Z,37.798462,-122.765291,21000,0,429.0,70.0
3b776b,0031,A400M 0031,2026-07-24T00:43:23.750Z,37.809036,-122.728681,20750,0,427.4,70.2
3b776b,0031,A400M 0031,2026-07-24T00:43:40.130Z,37.820528,-122.688685,20500,0,426.4,70.1
3b776b,0031,A400M 0031,2026-07-24T00:43:56.550Z,37.831238,-122.651133,20250,0,423.9,70.3
3b776b,0031,A400M 0031,2026-07-24T00:44:11.150Z,37.840668,-122.618058,19950,0,418.5,70.3
3b776b,0031,A400M 0031,2026-07-24T00:44:24.080Z,37.849548,-122.587202,19650,0,416.0,68.9
3b776b,0031,A400M 0031,2026-07-24T00:44:28.560Z,37.852982,-122.576917,19550,0,415.6,64.8
3b776b,0031,A400M 0031,2026-07-24T00:44:32.340Z,37.855499,-122.570606,19475,0,415.5,60.6
3b776b,0031,A400M 0031,2026-07-24T00:44:36.560Z,37.859911,-122.561387,19375,0,414.9,56.0
3b776b,0031,A400M 0031,2026-07-24T00:44:41.050Z,37.865158,-122.55214,19275,0,415.3,51.9
3b776b,0031,A400M 0031,2026-07-24T00:44:50.220Z,37.876648,-122.534082,18900,0,415.3,51.1
3b776b,0031,A400M 0031,2026-07-24T00:44:56.910Z,37.883835,-122.522862,18525,0,414.0,51.3
3b776b,0031,A400M 0031,2026-07-24T00:45:05.630Z,37.894775,-122.505506,18150,0,409.3,51.7
3b776b,0031,A400M 0031,2026-07-24T00:45:15.390Z,37.906448,-122.486864,17775,0,403.1,51.8
3b776b,0031,A400M 0031,2026-07-24T00:45:23.500Z,37.915009,-122.473132,17400,0,399.5,51.8
3b776b,0031,A400M 0031,2026-07-24T00:45:31.280Z,37.92421,-122.458405,17025,0,397.3,51.8
3b776b,0031,A400M 0031,2026-07-24T00:45:38.080Z,37.932312,-122.445374,16650,0,395.9,51.8
3b776b,0031,A400M 0031,2026-07-24T00:45:45.190Z,37.939636,-122.433686,16275,0,394.5,51.8
3b776b,0031,A400M 0031,2026-07-24T00:45:52.360Z,37.948034,-122.420177,15900,0,392.3,51.7
3b776b,0031,A400M 0031,2026-07-24T00:45:59.710Z,37.9566,-122.406384,15525,0,391.7,51.8
3b776b,0031,A400M 0031,2026-07-24T00:46:07.930Z,37.964933,-122.393009,15150,0,388.3,52.0
3b776b,0031,A400M 0031,2026-07-24T00:46:17.600Z,37.976028,-122.375014,14775,0,381.9,52.0
3b776b,0031,A400M 0031,2026-07-24T00:46:24.920Z,37.98436,-122.361632,14400,0,379.7,52.0
3b776b,0031,A400M 0031,2026-07-24T00:46:32.660Z,37.992004,-122.349302,14025,0,378.1,51.8
3b776b,0031,A400M 0031,2026-07-24T00:46:41.280Z,38.000565,-122.335569,13650,0,374.5,51.7
3b776b,0031,A400M 0031,2026-07-24T00:46:49.600Z,38.010956,-122.318972,13275,0,370.9,51.7
3b776b,0031,A400M 0031,2026-07-24T00:46:58.190Z,38.019492,-122.305358,12900,0,367.2,51.4
3b776b,0031,A400M 0031,2026-07-24T00:47:06.420Z,38.028477,-122.291207,12525,0,364.8,51.1
3b776b,0031,A400M 0031,2026-07-24T00:47:12.780Z,38.035538,-122.28017,12150,0,365.5,51.0
3b776b,0031,A400M 0031,2026-07-24T00:47:16.520Z,38.039603,-122.273832,11950,0,365.5,51.0
3b776b,0031,A400M 0031,2026-07-24T00:47:20.480Z,38.043045,-122.268482,11725,0,365.2,50.6
3b776b,0031,A400M 0031,2026-07-24T00:47:24.710Z,38.047852,-122.261469,11525,0,365.0,46.8
3b776b,0031,A400M 0031,2026-07-24T00:47:28.100Z,38.052017,-122.256093,11375,0,364.1,41.7
3b776b,0031,A400M 0031,2026-07-24T00:47:31.590Z,38.056824,-122.250951,11225,0,363.0,36.7
3b776b,0031,A400M 0031,2026-07-24T00:47:35.350Z,38.062134,-122.246392,11075,0,361.4,31.5
3b776b,0031,A400M 0031,2026-07-24T00:47:38.820Z,38.067394,-122.242664,10975,0,357.8,26.6
3b776b,0031,A400M 0031,2026-07-24T00:47:44.630Z,38.075029,-122.238305,10875,0,350.7,23.4
3b776b,0031,A400M 0031,2026-07-24T00:47:53.300Z,38.088156,-122.23108,10750,0,339.8,23.8
